Longitude,Latitude,city/province,district
106.7039109,10.8117887,TP Hồ Chí Minh,Bình Thạnh
105.8235426,21.0146852,Hà Nội,Đống Đa
106.6739598,10.8345635,TP Hồ Chí Minh,Gò Vấp
106.5996353,10.7703708,TP Hồ Chí Minh,Bình Tân
106.6278431,10.7914967,TP Hồ Chí Minh,Tân Phú
106.6783232,20.839182,Hải Phòng,Lê Chân
106.67304883852819,10.75896,TP Hồ Chí Minh,Quận 9
106.6794379,10.800981,TP Hồ Chí Minh,Phú Nhuận
106.71676215550468,10.80484845,TP Hồ Chí Minh,Quận 2
105.9021921,21.0359662,Hà Nội,Long Biên
106.6609731,10.8616036,TP Hồ Chí Minh,Quận 12
106.7617899,10.8298295,TP Hồ Chí Minh,Thủ Đức
105.8626556,20.9757581,Hà Nội,Hoàng Mai
106.6392921,10.745886,TP Hồ Chí Minh,Quận 6
105.758011,20.9551855,Hà Nội,Hà Đông
108.2093029,16.071571,Đà Nẵng,Thanh Khê
106.6521157,10.802583,TP Hồ Chí Minh,Tân Bình
105.7914212,21.0295015,Hà Nội,Cầu Giấy
105.8285908,21.0365377,Hà Nội,Ba Đình
105.8406959,21.0242596,Hà Nội,Hoàn Kiếm
105.8171316,20.9944171,Hà Nội,Thanh Xuân
108.4375758,11.9402416,Lâm Đồng,Đà Lạt
108.2013088,16.0153046,Đà Nẵng,Cẩm Lệ
103.8425857,22.3335173,Lào Cai,Sa Pa
105.5056335,21.1386671,Hà Nội,Sơn Tây
108.2389578,16.0833029,Đà Nẵng,Sơn Trà
108.2194844,16.0589539,Đà Nẵng,Hải Châu
106.659955,20.8684556,Hải Phòng,Hồng Bàng
106.6683666,10.772732,TP Hồ Chí Minh,Quận 10
106.7395591,10.6956953,TP Hồ Chí Minh,Nhà Bè
107.1010378,16.8172845,Quảng Trị,Đông Hà
105.8578519,21.0064704,Hà Nội,Hai Bà Trưng
106.795688,11.0600684,Bình Dương,Tân Uyên
106.8226134,10.9509538,Đồng Nai,Biên Hòa
107.01899713781296,10.98092085,Đồng Nai,Trảng Bom
106.6870156,10.778639,TP Hồ Chí Minh,Quận 3
105.8240984,21.0683576,Hà Nội,Tây Hồ
105.7721694,10.0349558,Cần Thơ,Ninh Kiều
106.6391585,20.8069819,Hải Phòng,Kiến An
106.77641520276015,10.91662445,Bình Dương,Dĩ An
107.671579,16.4115408,Thừa Thiên Huế,Hương Thủy
107.05314430683094,11.24275055,Đồng Nai,Vĩnh Cửu
108.1420613,16.0891126,Đà Nẵng,Liên Chiểu
106.7302238,10.7375481,TP Hồ Chí Minh,Quận 7
107.5863388,16.4639321,Thừa Thiên Huế,Huế
106.6990779,10.9035106,Bình Dương,Thuận An
108.26277454198583,16.00402,Đà Nẵng,Ngũ Hành Sơn
106.6094448,11.1392959,Bình Dương,Bến Cát
106.7022652,20.8541461,Hải Phòng,Ngô Quyền
106.6135727,20.8629686,Hải Phòng,An Dương
105.7644855,21.0712548,Hà Nội,Bắc Từ Liêm
105.97050129109073,21.0238721,Hà Nội,Gia Lâm
106.6296151,10.7217236,TP Hồ Chí Minh,Quận 8
108.9865391,11.5769829,Ninh Thuận,Phan Rang - Tháp Chàm
106.3658439,10.3606197,Tiền Giang,Mỹ Tho
105.7613329,21.0173512,Hà Nội,Nam Từ Liêm
106.6474946,10.7658124,TP Hồ Chí Minh,Quận 11
106.7075519,10.7607328,TP Hồ Chí Minh,Quận 4
109.1898675,12.2431693,Khánh Hòa,Nha Trang
109.1000184,12.2598246,Khánh Hòa,Diên Khánh
107.4225763,10.6100336,Bà Rịa Vũng Tàu,Xuyên Mộc
109.2314599,13.7696017,Bình Định,Quy Nhơn
106.6537483,10.9808435,Bình Dương,Thủ Dầu Một
105.70347943078642,21.02292555,Hà Nội,Hoài Đức
105.16583749352154,10.5685319,An Giang,Châu Phú
106.6070795,11.6511751,Bình Phước,Bình Long
106.57635314823773,10.878345,TP Hồ Chí Minh,Hóc Môn
105.9568611,21.113309,Bắc Ninh,Từ Sơn
106.7286831,20.8347956,Hải Phòng,Hải An
105.8519612,21.1536239,Hà Nội,Đông Anh
105.5204952,10.3610793,Đồng Tháp,Lấp Vò
108.80039119095932,11.7117416,Ninh Thuận,Ninh Sơn
106.5704726,10.6644881,TP Hồ Chí Minh,Bình Chánh
105.7927608,10.0059171,Cần Thơ,Cái Răng
105.667298,9.997528,Cần Thơ,Phong Điền
107.26674688112058,10.6564461,Bà Rịa Vũng Tàu,Châu Đức
106.6685441,10.7553616,TP Hồ Chí Minh,Quận 5
105.83650808063207,20.9408967,Hà Nội,Thanh Trì
105.25706780940934,10.42530055,An Giang,Châu Thành
107.74402210205596,16.4423967,Thừa Thiên Huế,Phú Vang
108.0447368,12.6796827,Đắk Lắk,Buôn Ma Thuột
106.6039551,10.5033076,Long An,Cần Đước
107.85002577276722,11.64139135,Lâm Đồng,Bảo Lâm
105.72092471486414,10.0608131,Cần Thơ,Bình Thủy
107.97380571659018,16.06665445,Đà Nẵng,Hòa Vang
108.88034965111237,11.56211905,Ninh Thuận,Ninh Phước
106.43380220306233,10.882814799999998,Long An,Đức Hòa
105.96327503831853,20.9298976,Hưng Yên,Văn Giang
108.1015919,10.9311514,Bình Thuận,Phan Thiết
105.1920348451795,10.8128293,An Giang,Tân Châu
107.0765028,10.3486485,Bà Rịa Vũng Tàu,Vũng Tàu
106.9582406,11.8208285,Bình Phước,Phước Long
106.50241040288586,11.0370567,TP Hồ Chí Minh,Củ Chi
106.0584514,20.9361841,Hưng Yên,Mỹ Hào
107.9691594,21.5290279,Quảng Ninh,Móng Cái
106.6999907,10.7773145,TP Hồ Chí Minh,Quận 1
106.01646597968514,20.972623499999997,Hưng Yên,Văn Lâm
108.8095598,15.1190037,Quảng Ngãi,Quảng Ngãi
106.6657201868218,10.5775983,Long An,Cần Giuộc
106.1923012,9.8176711,Trà Vinh,Tiểu Cần
106.3397849,9.9355829,Trà Vinh,Trà Vinh
105.1519707,9.1782047,Cà Mau,Cà Mau
106.7122143,20.7982254,Hải Phòng,Dương Kinh
106.0964769,11.3138286,Tây Ninh,Tây Ninh
105.9746207,20.2421142,Ninh Bình,Ninh Bình
106.4099039,10.5364717,Long An,Tân An
107.22347900827236,11.770288749999999,Bình Phước,Bù Đăng
108.3319406,15.8795863,Quảng Nam,Hội An
106.62771355641692,11.2697956,Bình Dương,Bàu Bàng
105.56362559272,21.360439200000002,Vĩnh Phúc,Tam Dương
105.5916322,21.3088479,Vĩnh Phúc,Vĩnh Yên
107.97107446802119,14.222075499999999,Gia Lai,Chư Păh
107.8092511,11.5506941,Lâm Đồng,Bảo Lộc
107.30779138044201,10.4781804,Bà Rịa Vũng Tàu,Đất Đỏ
107.1688433,10.4962696,Bà Rịa Vũng Tàu,Bà Rịa
105.64014022638986,9.93014655,Hậu Giang,Châu Thành A
105.7728738,9.820085,Hậu Giang,Phụng Hiệp
106.616017,11.4199483,Bình Phước,Chơn Thành
107.0206350972808,10.761313600000001,Đồng Nai,Long Thành
109.06206698803544,12.548103600000001,Khánh Hòa,Ninh Hòa
105.7767437,19.8076814,Thanh Hóa,Thanh Hóa
105.8435398,21.592477,Thái Nguyên,Thái Nguyên
106.68503670470655,20.941078349999998,Hải Phòng,Thủy Nguyên
106.1688515,20.4232641,Nam Định,Nam Định
108.70910939035221,15.19701665,Quảng Ngãi,Sơn Tịnh
106.45385666047355,10.69335045,Long An,Bến Lức
103.9875395,10.2162807,Kiên Giang,Phú Quốc
105.78016441102196,20.8602693,Hà Nội,Thanh Oai
105.95044819473213,20.2525683,Ninh Bình,Hoa Lư
109.15225412842415,11.6747975,Ninh Thuận,Ninh Hải
105.5601592,10.066126,Cần Thơ,Thới Lai
107.95472767739528,10.93781585,Bình Thuận,Hàm Thuận Nam
104.8752392,21.69611,Yên Bái,Yên Bái
105.9733211,9.6026724,Sóc Trăng,Sóc Trăng
